horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
ジプソフィーユ,2016106296,3,439,53.0,6,牝,1600,ダ,良,,10,1,0,1,3,11,15.0,8,大山龍太,9,2,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ハッピーハナコサン,2016105845,12,434,51.0,6,牝,1600,ダ,良,,10,1,0,1,12,11,15.0,8,青海大樹,10,8,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
プレジャジンク,2018102626,1,459,54.0,4,牝,1600,ダ,良,,10,1,0,1,1,11,15.0,8,松木大地,11,1,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
セイウングラッパ,2015101812,1,451,56.5,7,牡,1600,ダ,不良,,10,1,3,0,1,12,15.0,8,吉留孝司,1,1,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
シェナノブチ,2015105663,4,420,56.5,7,牡,1600,ダ,不良,,10,1,3,0,4,12,15.0,8,岡田大,2,3,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
タカラビート,2014100403,2,467,56.5,8,牡,1600,ダ,不良,,10,1,3,0,2,12,15.0,8,藤本現暉,3,1,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
バジェットライン,2018110125,6,524,54.5,4,牝,1600,ダ,不良,,10,1,3,1,6,12,15.0,8,張田昂,4,4,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ブラウンザウバー,2018106037,9,479,56.5,4,牡,1600,ダ,不良,,10,1,3,0,9,12,15.0,8,矢野貴之,5,6,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ホワイトブレス,2017101394,3,465,54.5,5,牝,1600,ダ,不良,,10,1,3,1,3,12,15.0,8,實川純一,6,2,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
エメラルストロング,2015103134,12,462,54.5,7,牝,1600,ダ,不良,,10,1,3,1,12,12,15.0,8,本橋孝太,7,8,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ハクサンレモン,2015103170,5,422,51.5,7,牝,1600,ダ,不良,,10,1,3,1,5,12,15.0,8,木間塚龍,8,3,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ディープシーブルー,2017102536,8,441,56.5,5,牡,1600,ダ,不良,,10,1,3,0,8,12,15.0,8,山本聡紀,9,5,202243021504,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
