race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202509040905,18,4896,160.5,377284.0,7050.4,1062.5
202509040906,16,3360,60.2,313638.4,6479.7,781.2
202509040907,16,3360,62.3,258087.5,7102.3,835.2
202509040908,18,4896,49.2,354215.6,14364.4,1264.5
202509040909,12,1320,52.9,140210.3,2313.3,309.6
202509040910,16,3360,64.6,769999.8,8453.2,785.9
202509040911,12,1320,43.7,19850.1,1628.6,314.8
202509040912,14,2184,34.3,197531.6,5925.2,529.8
202505040101,16,3360,43.8,769999.8,12370.3,948.3
202505040102,9,504,25.1,41718.9,852.2,103.5
202505040103,18,4896,64.2,769999.8,15096.4,1153.8
202505040104,11,990,32.3,38230.5,1697.2,231.0
202505040105,17,4080,65.7,769999.8,12090.8,953.6
202505040106,16,3360,92.3,181980.5,5558.5,766.4
202505040107,10,720,49.0,15658.0,801.6,171.0
202505040108,16,3360,59.4,342996.9,9302.7,848.6
202505040109,12,1320,35.3,49474.9,2167.6,302.3
202505040110,15,2730,52.4,149125.1,5622.8,652.0
202505040111,16,3360,52.1,238569.4,6705.2,810.4
202505040112,16,3360,161.9,579377.3,4919.7,669.7
202508030101,14,2184,39.9,145430.2,4576.1,536.0
202508030102,8,336,10.5,9189.2,731.1,70.5
202508030103,16,3360,32.5,139900.2,8838.9,901.3
202508030104,14,2184,50.5,94581.0,4725.3,499.1
202508030105,14,2184,69.1,50219.7,2917.1,504.4
202508030106,16,3360,101.9,319302.1,8529.4,968.8
202508030107,18,4896,46.8,408530.8,13600.7,1272.8
202508030108,12,1320,39.3,24059.0,1827.1,309.0
202508030109,8,336,31.7,3398.4,305.9,80.1
202508030110,16,3360,59.0,99993.0,5724.9,830.1
202508030111,18,4896,82.9,200287.2,9035.4,1186.9
202508030112,13,1716,51.7,48656.7,2819.9,391.5
202505040201,16,3360,59.6,337753.0,7229.4,795.4
202505040202,11,990,25.6,97606.7,2170.9,222.9
202505040203,17,4080,75.8,769999.8,18308.1,1008.0
202505040204,14,2184,29.5,128145.2,5582.4,564.3
202505040205,15,2730,42.6,539028.1,7996.5,695.7
202505040206,16,3360,53.8,769999.8,11345.8,860.0
